This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 04:00:00","RTK-Nazran_zone(1219)","0.00",
"04/09/2024 04:00:00","UgTelecom(1220)","0.00",
"04/09/2024 04:00:00","Kolambia-telecom(1223)","0.00",
"04/09/2024 04:00:00","Volgograd-GSM(1224)","0.00",
"04/09/2024 04:00:00","Megafon_Krasnodar_2(1226)","0.00",
"04/09/2024 04:00:00","Vimpel-Stavropol-Zon(1227)","0.00",
"04/09/2024 04:00:00","Vimpel_Volgograd_Z(1230)","0.00",
"04/09/2024 04:00:00","Vimpel-Stavropol(1236)","0.00",
"04/09/2024 04:00:00","Vimpelkom-Krym1-sp(1237)","0.00",
"04/09/2024 04:00:00","Vimpelkom-Krym2-sp(1238)","0.00",
"04/09/2024 04:00:00","Volgograd-GSM_SP_OUT(1243)","0.03",
"04/09/2024 04:00:00","Vimpelcom_RND(1245)","0.00",
"04/09/2024 04:00:00","Vimpel_Volgograd(1246)","0.00",
"04/09/2024 04:00:00","Megafon_Min.Vodi_out(1250)","0.00",
"04/09/2024 04:00:00","Tele-2_Maikop1_out(1251)","0.00",
"04/09/2024 04:00:00","MTC_Krasndr(1255)","0.00",
"04/09/2024 04:00:00","MTC_Krsndr2(1256)","0.00",
"04/09/2024 04:00:00","Kavkaz_TTK_KDR(1258)","0.00",
"04/09/2024 04:00:00","Kavkaz_TTK_RND(1259)","16.01",
"04/09/2024 04:00:00","TELE2_R_na_D_OUT(1261)","0.12",
"04/09/2024 04:00:00","MTS-Stavropol-sp(1262)","0.00",
"04/09/2024 04:00:00","Vimpelcom_Mahachkala(1263)","0.00",
"04/09/2024 04:00:00","Sovintel - RND-dony(1266)","0.00",
"04/09/2024 04:00:00","Vimpel_Sochi(1267)","0.00",
"04/09/2024 04:00:00","Megafon_RND_MG_OUT(1269)","0.46",
"04/09/2024 04:00:00","MTS-Krasnodar(1270)","0.00",
"04/09/2024 04:00:00","ASTT_Astrakhn(1273)","0.00",
"04/09/2024 04:00:00","Megafon-Krasnodar-Zona(1274)","0.00",
"04/09/2024 04:00:00","Megafon_Mahachkala_z(1275)","0.00",
"04/09/2024 04:00:00","Megafon-RND_zone(1276)","0.04",
