This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 03:00:00","Vimpelkom_Petrozav(5253)","0.00",
"04/09/2024 03:00:00","Tele2_Arhangelsk_in(5254)","0.00",
"04/09/2024 03:00:00","Vimpel_VNovgorod_Z(5255)","0.00",
"04/09/2024 03:00:00","Parma-Siktivkar_in(5257)","0.06",
"04/09/2024 03:00:00","Severentelecom(5259)","0.00",
"04/09/2024 03:00:00","KVANTUM_SPB(5260)","0.00",
"04/09/2024 03:00:00","Sovintel_Vologda(5264)","0.00",
"04/09/2024 03:00:00","SZT_Siktivkar_SP(5265)","0.00",
"04/09/2024 03:00:00","SZT_Novgorod_SP(5266)","0.00",
"04/09/2024 03:00:00","SZT_Pskov_SPB(5268)","0.00",
"04/09/2024 03:00:00","Smarttel_SPB(5269)","0.00",
"04/09/2024 03:00:00","SZT_Vologda(5270)","0.00",
"04/09/2024 03:00:00","SZT_Petrozavodsk(5271)","0.00",
"04/09/2024 03:00:00","SZT_Sinopskaya(5272)","0.11",
"04/09/2024 03:00:00","Polarkom-Myrmansk_Z(5273)","0.00",
"04/09/2024 03:00:00","Vimpelkom_Kalinin(5275)","0.00",
"04/09/2024 03:00:00","Sovintel_Kalingr(5276)","0.00",
"04/09/2024 03:00:00","BQR_Tele_2_SPB(5278)","0.00",
"04/09/2024 03:00:00","VMTC_Vologda(5279)","0.00",
"04/09/2024 03:00:00","MTS_Pskov(5280)","0.00",
"04/09/2024 03:00:00","MTC_Siktivkar(5282)","0.00",
"04/09/2024 03:00:00","MTC_Novgorod(5284)","0.00",
