This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 02:00:00","Indigo(421)","0.00",
"04/09/2024 02:00:00","CITIC(423)","0.00",
"04/09/2024 02:00:00","Exatel(424)","0.00",
"04/09/2024 02:00:00","TNS1(425)","0.00",
"04/09/2024 02:00:00","TNS2(426)","0.00",
"04/09/2024 02:00:00","Apollo-USA-2(427)","0.00",
"04/09/2024 02:00:00","Altmedia-Tel-2(428)","0.00",
"04/09/2024 02:00:00","Call-O-Call(429)","0.00",
"04/09/2024 02:00:00","Abhazsvyz(430)","0.00",
"04/09/2024 02:00:00","Mobinet LLC(431)","0.00",
"04/09/2024 02:00:00","Viber(432)","0.00",
"04/09/2024 02:00:00","Brilliant_Telcm(433)","0.00",
"04/09/2024 02:00:00","Altmedia Telecom(434)","0.00",
"04/09/2024 02:00:00","Kirgiztelecom(436)","0.00",
"04/09/2024 02:00:00","China_Telecom(437)","0.00",
"04/09/2024 02:00:00","SIA Tet(438)","0.00",
"04/09/2024 02:00:00","AzInTelecom(439)","0.00",
"04/09/2024 02:00:00","IPVOIP-sip(440)","0.00",
"04/09/2024 02:00:00","Capital Exotic(441)","0.00",
"04/09/2024 02:00:00","Capital CSL(442)","0.00",
"04/09/2024 02:00:00","TVI-Connect-MSK(443)","0.00",
"04/09/2024 02:00:00","TATA Comm(444)","0.00",
"04/09/2024 02:00:00","NCOT(Int)(445)","0.00",
"04/09/2024 02:00:00","Deutshe Telecom(446)","0.00",
"04/09/2024 02:00:00","Kaztranscom_inet(448)","0.00",
"04/09/2024 02:00:00","Lexico(449)","0.00",
"04/09/2024 02:00:00","Kaztranscom(452)","0.00",
"04/09/2024 02:00:00","AzlnTelecom(459)","0.00",
"04/09/2024 02:00:00","KT Corporation(460)","0.00",
"04/09/2024 02:00:00","ROVEX(463)","0.00",
"04/09/2024 02:00:00","HGC2(483)","0.00",
"04/09/2024 02:00:00","HGC(484)","0.00",
"04/09/2024 02:00:00","INTERCONNECT LTD(490)","0.00",
"04/09/2024 02:00:00","TG_TRANZIT(494)","0.00",
"04/09/2024 03:00:00","To SPB-INT(102)","0.00",
"04/09/2024 03:00:00","To CLK-INT M(103)","0.00",
"04/09/2024 03:00:00","To IRK-INT M(104)","0.00",
"04/09/2024 03:00:00","To MSK-NAT M(111)","0.00",
"04/09/2024 03:00:00","To SPB-NAT M(112)","0.00",
"04/09/2024 03:00:00","To RND-NAT M(113)","0.00",
"04/09/2024 03:00:00","To SMA-NAT M(114)","0.00",
"04/09/2024 03:00:00","To CLK-NAT M(115)","0.00",
"04/09/2024 03:00:00","To NSK-NAT M(116)","0.00",
"04/09/2024 03:00:00","To KBK-NAT M(117)","0.00",
"04/09/2024 03:00:00","Beltelecom(203)","0.00",
"04/09/2024 03:00:00","Kazakhtelekom_Astana(212)","0.00",
"04/09/2024 03:00:00","Vimpelcom_MNnew(214)","0.00",
"04/09/2024 03:00:00","TNS-PLUS_Almata(216)","0.00",
